,date,open,high,low,close,Adj Close,volume,DATE,Predictions
1695,2020-09-25,56.869998931884766,57.7400016784668,56.34000015258789,57.4900016784668,54.44802474975586,11955200,2020-09-25,55.228676
1696,2020-09-28,58.09000015258789,59.56999969482422,58.09000015258789,58.88999938964844,55.77394485473633,5457500,2020-09-28,55.239666
1697,2020-09-29,58.68000030517578,58.790000915527344,57.4900016784668,57.599998474121094,54.55220413208008,6362100,2020-09-29,56.8583
1698,2020-09-30,57.61000061035156,58.61000061035156,57.099998474121094,57.540000915527344,54.495384216308594,7708400,2020-09-30,56.3709
1699,2020-10-01,57.81999969482422,58.45000076293945,57.09000015258789,57.459999084472656,54.41960906982422,6525600,2020-10-01,55.74432
1700,2020-10-02,56.52000045776367,59.380001068115234,56.5099983215332,59.34000015258789,56.20012664794922,8381200,2020-10-02,55.448578
1701,2020-10-05,59.849998474121094,60.33000183105469,59.16999816894531,59.5099983215332,56.36113357543945,6077800,2020-10-05,57.19121
1702,2020-10-06,59.810001373291016,60.58000183105469,58.43000030517578,58.45000076293945,55.35723114013672,7187200,2020-10-06,58.14964
1703,2020-10-07,59.310001373291016,59.939998626708984,58.95000076293945,59.689998626708984,56.53160858154297,4925800,2020-10-07,57.20908
1704,2020-10-08,59.81999969482422,60.849998474121094,59.68000030517578,60.79999923706055,57.582881927490234,4483000,2020-10-08,57.704956
1705,2020-10-09,61.220001220703125,61.33000183105469,59.88999938964844,59.90999984741211,56.73997116088867,3996200,2020-10-09,59.102623
1706,2020-10-12,59.84000015258789,60.68000030517578,59.560001373291016,60.529998779296875,57.32716751098633,5378900,2020-10-12,58.752403
1707,2020-10-13,59.75,60.099998474121094,58.529998779296875,59.52000045776367,56.370609283447266,8836700,2020-10-13,58.892323
1708,2020-10-14,59.279998779296875,60.34000015258789,59.209999084472656,59.939998626708984,56.76838302612305,5971800,2020-10-14,58.052284
1709,2020-10-15,59.369998931884766,60.5,58.91999816894531,60.4900016784668,57.28929138183594,6166000,2020-10-15,58.055943
1710,2020-10-16,61.0,62.040000915527344,60.63999938964844,61.75,58.48261260986328,8287700,2020-10-16,58.75288
1711,2020-10-19,61.599998474121094,62.66999816894531,61.0,61.459999084472656,58.20795440673828,7373300,2020-10-19,60.235664
1712,2020-10-20,61.97999954223633,62.310001373291016,61.040000915527344,61.2400016784668,57.999603271484375,5960800,2020-10-20,60.416294
1713,2020-10-21,60.41999816894531,61.099998474121094,60.189998626708984,60.349998474121094,57.15668869018555,5647200,2020-10-21,59.966034
1714,2020-10-22,60.22999954223633,62.970001220703125,60.220001220703125,62.79999923706055,59.477054595947266,6990100,2020-10-22,58.86548
1715,2020-10-23,63.06999969482422,63.790000915527344,62.41999816894531,62.56999969482422,59.25922775268555,5864600,2020-10-23,60.755135
1716,2020-10-26,61.650001525878906,61.75,59.880001068115234,60.810001373291016,57.592350006103516,7596800,2020-10-26,61.522694
1717,2020-10-27,59.77000045776367,59.79999923706055,56.439998626708984,56.529998779296875,53.538814544677734,14785900,2020-10-27,59.87852
1718,2020-10-28,55.20000076293945,56.06999969482422,52.25,52.34000015258789,49.570526123046875,19787500,2020-10-28,55.13573
1719,2020-10-29,52.5,53.47999954223633,51.91999816894531,53.13999938964844,50.328189849853516,14994500,2020-10-29,49.52635
1720,2020-10-30,53.119998931884766,54.45000076293945,52.91999816894531,54.31999969482422,51.44575500488281,14571800,2020-10-30,48.743923
1721,2020-11-02,55.400001525878906,56.0,53.90999984741211,55.75,52.80009460449219,9750800,2020-11-02,51.30717
1722,2020-11-03,56.5099983215332,57.5099983215332,56.34000015258789,57.040000915527344,54.0218391418457,7740500,2020-11-03,54.177032
1723,2020-11-04,57.36000061035156,58.59000015258789,56.13999938964844,56.81999969482422,53.813472747802734,8662000,2020-11-04,55.972004
1724,2020-11-05,57.11000061035156,58.81999969482422,56.869998931884766,58.279998779296875,55.196224212646484,7446700,2020-11-05,55.7261
1725,2020-11-06,57.630001068115234,58.849998474121094,57.2400016784668,58.560001373291016,55.461402893066406,7849800,2020-11-06,56.36826
1726,2020-11-09,65.12000274658203,66.38999938964844,62.4900016784668,64.98999786376953,61.55117416381836,19021200,2020-11-09,56.818436
1727,2020-11-10,66.0999984741211,68.1500015258789,65.75,67.88999938964844,64.2977294921875,14358600,2020-11-10,62.904755
1728,2020-11-11,67.6500015258789,67.69999694824219,65.12000274658203,65.8499984741211,62.36566925048828,10124700,2020-11-11,67.73763
1729,2020-11-12,63.880001068115234,64.63999938964844,63.27000045776367,63.9900016784668,61.04442596435547,8345100,2020-11-12,66.499756
1730,2020-11-13,64.77999877929688,66.4000015258789,64.5199966430664,66.1500015258789,63.1049919128418,6824200,2020-11-13,63.443066
1731,2020-11-16,67.55999755859375,69.04000091552734,67.1500015258789,68.66000366210938,65.49945068359375,12885000,2020-11-16,64.17842
1732,2020-11-17,67.5199966430664,69.62000274658203,67.36000061035156,68.87000274658203,65.69979858398438,11134200,2020-11-17,67.38454
1733,2020-11-18,69.66999816894531,71.31999969482422,69.33000183105469,69.51000213623047,66.31033325195312,13392600,2020-11-18,68.700584
1734,2020-11-19,68.6500015258789,71.2300033569336,68.19999694824219,71.11000061035156,67.8366928100586,8929000,2020-11-19,69.29324
1735,2020-11-20,70.80000305175781,71.12000274658203,69.6500015258789,69.76000213623047,66.54881286621094,5833800,2020-11-20,70.687744
1736,2020-11-23,70.81999969482422,72.83999633789062,70.33999633789062,72.63999938964844,69.29624938964844,7208800,2020-11-23,69.73779
1737,2020-11-24,74.08999633789062,75.31999969482422,73.80000305175781,74.36000061035156,70.93707275390625,10570500,2020-11-24,71.83087
1738,2020-11-25,73.55000305175781,74.19000244140625,72.9000015258789,73.80999755859375,70.41238403320312,5374200,2020-11-25,74.21643
1739,2020-11-27,73.7699966430664,74.4000015258789,73.38999938964844,73.91000366210938,70.50778198242188,5103400,2020-11-27,74.22159
1740,2020-11-30,73.08999633789062,73.55000305175781,71.36000061035156,71.72000122070312,68.41858673095703,10730800,2020-11-30,73.9556
1741,2020-12-01,72.72000122070312,72.94000244140625,71.20999908447266,71.2300033569336,67.95115661621094,6544600,2020-12-01,71.72276
1742,2020-12-02,71.19000244140625,72.3499984741211,70.69000244140625,71.94000244140625,68.62847900390625,5401600,2020-12-02,70.43343
1743,2020-12-03,72.11000061035156,74.38999938964844,71.91000366210938,73.29000091552734,69.91632843017578,6893900,2020-12-03,70.915764
1744,2020-12-04,73.37999725341797,74.66000366210938,73.37999725341797,73.91000366210938,70.50778198242188,9297900,2020-12-04,72.5993
1745,2020-12-07,73.37999725341797,73.75,72.55000305175781,73.04000091552734,69.67784118652344,4913800,2020-12-07,73.740234
1746,2020-12-08,73.19000244140625,74.51000213623047,72.79000091552734,74.4800033569336,71.05155181884766,4364900,2020-12-08,73.10453
1747,2020-12-09,74.47000122070312,74.81999969482422,73.27999877929688,73.54000091552734,70.15482330322266,5329300,2020-12-09,74.01427
1748,2020-12-10,72.97000122070312,73.73999786376953,72.44999694824219,72.9800033569336,69.62059783935547,7497900,2020-12-10,73.469185
1749,2020-12-11,72.66000366210938,73.58000183105469,72.36000061035156,72.88999938964844,69.53472137451172,7185900,2020-12-11,72.649605
1750,2020-12-14,73.4000015258789,73.83000183105469,70.70999908447266,70.80000305175781,67.54094696044922,10849300,2020-12-14,72.31079
1751,2020-12-15,71.5,71.80000305175781,70.0999984741211,71.04000091552734,67.76990509033203,7769000,2020-12-15,70.377846
1752,2020-12-16,71.1500015258789,71.18000030517578,70.44999694824219,70.56999969482422,67.32152557373047,5621100,2020-12-16,69.958466
1753,2020-12-17,71.38999938964844,71.48999786376953,70.51000213623047,70.63999938964844,67.38831329345703,5769900,2020-12-17,69.67325
1754,2020-12-18,70.56999969482422,70.76000213623047,69.80999755859375,70.16999816894531,66.93994140625,16809800,2020-12-18,69.76825
1755,2020-12-21,68.69000244140625,70.23999786376953,67.77999877929688,69.66999816894531,66.46295928955078,8351700,2020-12-21,69.44895
1756,2020-12-22,69.48999786376953,70.11000061035156,68.97000122070312,69.25,66.06230163574219,4028200,2020-12-22,68.88
1757,2020-12-23,69.79000091552734,71.41000366210938,69.58999633789062,70.72000122070312,67.4646224975586,4312900,2020-12-23,68.33594
1758,2020-12-24,70.94999694824219,70.94999694824219,69.88999938964844,70.2699966430664,67.03533172607422,1758600,2020-12-24,69.6105
1759,2020-12-28,70.69999694824219,71.45999908447266,70.33999633789062,70.62999725341797,67.37877655029297,2938000,2020-12-28,69.760155
1760,2020-12-29,71.0,71.0999984741211,69.66999816894531,70.33999633789062,67.10212707519531,3670100,2020-12-29,69.99828
1761,2020-12-30,70.5,71.63999938964844,70.33999633789062,71.36000061035156,68.07515716552734,5015500,2020-12-30,69.76543
1762,2020-12-31,71.3499984741211,71.69999694824219,70.94000244140625,71.51000213623047,68.21826934814453,4177000,2020-12-31,70.58574
1763,2021-01-04,71.37999725341797,71.55999755859375,68.30999755859375,68.43000030517578,65.28004455566406,7660500,2021-01-04,71.041084
1764,2021-01-05,68.76000213623047,69.87999725341797,68.4000015258789,69.41999816894531,66.22447204589844,6436800,2021-01-05,68.2637
1765,2021-01-06,68.5,71.48999786376953,68.44999694824219,70.27999877929688,67.04488372802734,8753800,2021-01-06,68.03063
1766,2021-01-07,70.3499984741211,70.87000274658203,69.69000244140625,69.77999877929688,66.56790161132812,8771400,2021-01-07,69.165146
1767,2021-01-08,69.95999908447266,70.08000183105469,68.69999694824219,69.86000061035156,66.64421081542969,5158100,2021-01-08,69.228455
1768,2021-01-11,68.79000091552734,69.8499984741211,68.5199966430664,69.80000305175781,66.58699035644531,4569000,2021-01-11,69.19663
1769,2021-01-12,69.69000244140625,71.72000122070312,69.56999969482422,71.5199966430664,68.22779846191406,5356200,2021-01-12,69.0926
1770,2021-01-13,71.30000305175781,71.44999694824219,69.79000091552734,70.5,67.25475311279297,7032600,2021-01-13,70.65283
1771,2021-01-14,71.0,72.37000274658203,70.55000305175781,70.94000244140625,67.67449951171875,9712500,2021-01-14,70.26423
1772,2021-01-15,70.30999755859375,70.33000183105469,68.94999694824219,69.19999694824219,66.01459503173828,6980800,2021-01-15,70.32068
1773,2021-01-19,69.77999877929688,70.05000305175781,69.1500015258789,69.36000061035156,66.167236328125,7381800,2021-01-19,68.73596
1774,2021-01-20,69.47000122070312,69.52999877929688,68.61000061035156,68.83999633789062,65.6711654663086,4657700,2021-01-20,68.27905
1775,2021-01-21,68.33000183105469,68.69999694824219,67.8499984741211,68.11000061035156,64.97477722167969,7366800,2021-01-21,67.868675
1776,2021-01-22,67.72000122070312,68.11000061035156,67.12000274658203,67.58000183105469,64.46916961669922,4558100,2021-01-22,67.16387
1777,2021-01-25,66.04000091552734,66.5199966430664,65.0199966430664,66.27999877929688,63.22900390625,10514000,2021-01-25,66.506996
1778,2021-01-26,69.19999694824219,70.93000030517578,67.19000244140625,67.19999694824219,64.10665893554688,13322200,2021-01-26,65.19512
1779,2021-01-27,66.55000305175781,67.76000213623047,65.25,65.5,62.484920501708984,12377000,2021-01-27,65.68453
1780,2021-01-28,66.44000244140625,69.29000091552734,66.20999908447266,68.16999816894531,65.0320053100586,8753200,2021-01-28,64.557175
1781,2021-01-29,67.11000061035156,67.55999755859375,66.11000061035156,66.7300033569336,63.658294677734375,15649100,2021-01-29,66.58883
1782,2021-02-01,67.5999984741211,67.5999984741211,66.12999725341797,66.95999908447266,63.877708435058594,5994000,2021-02-01,66.19545
1783,2021-02-02,67.66999816894531,70.41999816894531,67.55000305175781,70.13999938964844,66.91133117675781,8710600,2021-02-02,65.97191
1784,2021-02-03,69.76000213623047,70.91999816894531,69.37000274658203,70.58000183105469,67.33106994628906,8370000,2021-02-03,68.88552
1785,2021-02-04,71.06999969482422,72.80999755859375,70.7300033569336,72.68000030517578,69.33441162109375,9024300,2021-02-04,70.349045
1786,2021-02-05,73.3499984741211,73.87999725341797,72.0,72.33000183105469,69.00051879882812,7952700,2021-02-05,72.41394
1787,2021-02-08,72.27999877929688,72.68000030517578,71.80999755859375,72.48999786376953,69.15316009521484,4964300,2021-02-08,72.49635
1788,2021-02-09,72.25,73.33999633789062,71.56999969482422,73.04000091552734,69.67784118652344,6263000,2021-02-09,72.33393
1789,2021-02-10,72.76000213623047,73.13999938964844,72.13999938964844,72.47000122070312,69.13406372070312,3930200,2021-02-10,72.67704
1790,2021-02-11,72.47000122070312,73.19000244140625,71.16999816894531,72.33000183105469,69.00051879882812,4535800,2021-02-11,72.25054
1791,2021-02-12,72.08999633789062,72.81999969482422,71.81999969482422,72.61000061035156,69.26762390136719,4207500,2021-02-12,71.913284
1792,2021-02-16,72.83999633789062,73.25,72.04000091552734,72.61000061035156,69.26762390136719,6110200,2021-02-16,72.086975
1793,2021-02-17,72.29000091552734,73.20999908447266,72.08000183105469,73.05999755859375,69.69691467285156,5186900,2021-02-17,72.19117
1794,2021-02-18,72.47000122070312,73.05000305175781,72.0199966430664,72.87999725341797,69.52519989013672,4903800,2021-02-18,72.62475
1795,2021-02-19,73.37999725341797,74.30999755859375,73.0999984741211,74.26000213623047,70.8416748046875,6275900,2021-02-19,72.58141
1796,2021-02-22,72.25,74.26000213623047,72.22000122070312,73.0,69.6396713256836,10506900,2021-02-22,73.78033
1797,2021-02-23,73.41000366210938,74.01000213623047,72.52999877929688,73.98999786376953,70.5841064453125,11686700,2021-02-23,73.00286
1798,2021-02-24,74.19000244140625,78.16999816894531,73.5199966430664,77.66999816894531,74.09469604492188,11159300,2021-02-24,73.49038
1799,2021-02-25,76.66000366210938,77.12000274658203,72.94999694824219,73.31999969482422,70.37533569335938,9483300,2021-02-25,77.15946
1800,2021-02-26,73.93000030517578,73.93000030517578,71.98999786376953,71.98999786376953,69.09874725341797,8000700,2021-02-26,74.27435
1801,2021-03-01,73.51000213623047,75.33999633789062,73.0999984741211,74.36000061035156,71.37356567382812,10910500,2021-03-01,71.62899
1802,2021-03-02,74.30999755859375,75.41999816894531,74.19999694824219,74.66999816894531,71.67110443115234,5792300,2021-03-02,73.07921
1803,2021-03-03,74.80000305175781,76.38999938964844,74.6500015258789,75.06999969482422,72.05506134033203,5960700,2021-03-03,74.28524
1804,2021-03-04,75.0199966430664,76.45999908447266,72.73999786376953,74.41999816894531,71.43115234375,8284200,2021-03-04,74.98063
1805,2021-03-05,75.2300033569336,75.56999969482422,73.0999984741211,75.18000030517578,72.16062927246094,6661900,2021-03-05,74.45412
1806,2021-03-08,76.11000061035156,77.33999633789062,75.54000091552734,75.61000061035156,72.57335662841797,7232100,2021-03-08,74.84482
1807,2021-03-09,76.04000091552734,76.69999694824219,74.75,74.83000183105469,71.82469940185547,6558300,2021-03-09,75.396255
1808,2021-03-10,75.4000015258789,77.1500015258789,74.98999786376953,76.55999755859375,73.4852066040039,6776600,2021-03-10,74.81851
1809,2021-03-11,76.56999969482422,78.08000183105469,76.19999694824219,77.05000305175781,73.95552825927734,6314900,2021-03-11,76.14805
1810,2021-03-12,78.0,78.87000274658203,77.68000030517578,78.5199966430664,75.36650085449219,6075900,2021-03-12,77.08372
1811,2021-03-15,78.77999877929688,80.05999755859375,78.3499984741211,79.56999969482422,76.37432861328125,7848900,2021-03-15,78.61522
1812,2021-03-16,79.44000244140625,79.66999816894531,78.01000213623047,78.23999786376953,75.09774017333984,5941500,2021-03-16,79.929016
1813,2021-03-17,78.45999908447266,79.83999633789062,78.30999755859375,79.55999755859375,76.36473083496094,6685900,2021-03-17,78.926125
1814,2021-03-18,79.22000122070312,79.91999816894531,77.87999725341797,77.94000244140625,74.8097915649414,6093500,2021-03-18,79.61328
1815,2021-03-19,78.0,78.55000305175781,76.12000274658203,78.36000061035156,75.2129135131836,15023800,2021-03-19,78.3676
1816,2021-03-22,78.36000061035156,78.54000091552734,76.58999633789062,76.91999816894531,73.83074951171875,7457100,2021-03-22,78.2682
1817,2021-03-23,76.2699966430664,77.16999816894531,75.01000213623047,75.18000030517578,72.16062927246094,8285400,2021-03-23,77.006645
1818,2021-03-24,76.2300033569336,77.83000183105469,75.55000305175781,75.55000305175781,72.51578521728516,7722600,2021-03-24,75.01375
1819,2021-03-25,75.0999984741211,77.66999816894531,74.62999725341797,77.52999877929688,74.41625213623047,6359100,2021-03-25,74.7929
1820,2021-03-26,77.41000366210938,78.26000213623047,76.56999969482422,78.16999816894531,75.03054809570312,6193900,2021-03-26,76.843376
1821,2021-03-29,78.30999755859375,78.98999786376953,77.52999877929688,77.68000030517578,74.56023406982422,7136700,2021-03-29,78.2078
1822,2021-03-30,77.62000274658203,78.44999694824219,77.26000213623047,77.81999969482422,74.6946029663086,5540000,2021-03-30,78.01741
1823,2021-03-31,77.83999633789062,78.22000122070312,77.05000305175781,77.2699966430664,74.16669464111328,6003300,2021-03-31,77.89489
1824,2021-04-01,77.61000061035156,77.80000305175781,76.93000030517578,77.27999877929688,74.17628479003906,6166200,2021-04-01,77.307724
1825,2021-04-05,77.86000061035156,78.44999694824219,77.54000091552734,77.91000366210938,74.78099822998047,5637900,2021-04-05,77.120964
1826,2021-04-06,77.58999633789062,78.08999633789062,77.19999694824219,77.51000213623047,74.39706420898438,8489200,2021-04-06,77.70413
1827,2021-04-07,77.48999786376953,78.11000061035156,77.05000305175781,77.5999984741211,74.48344421386719,5334700,2021-04-07,77.56831
1828,2021-04-08,77.12999725341797,77.55999755859375,76.48999786376953,77.4800033569336,74.3682632446289,5043000,2021-04-08,77.557434
1829,2021-04-09,78.54000091552734,78.87999725341797,77.6500015258789,78.29000091552734,75.1457290649414,5423400,2021-04-09,77.44049
1830,2021-04-12,78.25,78.81999969482422,78.12999725341797,78.72000122070312,75.55845642089844,5485800,2021-04-12,78.147964
1831,2021-04-13,78.0,78.08000183105469,76.73999786376953,77.69999694824219,74.57942962646484,5490700,2021-04-13,78.78615
1832,2021-04-14,78.0,78.69000244140625,77.7699966430664,77.95999908447266,74.8289794921875,4855200,2021-04-14,77.98925
1833,2021-04-15,78.16000366210938,78.27999877929688,76.9800033569336,77.97000122070312,74.83858489990234,5106500,2021-04-15,77.874115
