,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,67.52,67.67,67.18,67.45,3668687,HD,77.6524999999998
4,2013-02-14,67.13,67.47,66.96,67.34,5439665,HD,76.53303333333326
9,2013-02-22,64.8,65.74,64.5,65.58,7501182,HD,75.86749999999974
13,2013-02-28,67.91,69.1876,67.86,68.5,8705818,HD,77.19663333333334
17,2013-03-06,70.47,70.959,70.275,70.48,5275314,HD,78.52126666666668
20,2013-03-11,71.32,71.38,71.0,71.32,4902463,HD,76.7516333333334
23,2013-03-14,70.87,70.96,70.18,70.24,6314510,HD,78.61306666666707
24,2013-03-15,70.03,70.19,69.05,69.05,11273217,HD,78.55333333333311
25,2013-03-18,68.45,69.91,68.45,69.35,6010129,HD,76.19046666666674
26,2013-03-19,69.55,69.74,68.56,68.79,7654870,HD,76.77736666666665
34,2013-04-01,69.51,70.77,69.51,69.67,5359503,HD,74.80656666666643
38,2013-04-05,70.0,70.25,69.61,70.06,6987328,HD,75.54790000000001
40,2013-04-09,71.23,71.57,70.95,71.2,5994935,HD,77.04586666666683
42,2013-04-11,71.83,72.6,71.733,71.9,7626671,HD,78.54860000000042
46,2013-04-17,72.22,72.97,71.94,72.8,8838675,HD,79.23756666666694
51,2013-04-24,73.55,73.85,73.26,73.28,6248256,HD,78.92883333333315
53,2013-04-26,73.24,73.69,73.13,73.35,4984231,HD,79.03756666666672
54,2013-04-29,73.44,74.02,73.39,73.67,4519351,HD,78.59463333333356
55,2013-04-30,73.5,74.01,73.22,73.35,6602408,HD,79.03756666666672
58,2013-05-03,73.72,74.41,73.72,73.96,4951467,HD,80.1015393650793
60,2013-05-07,75.24,75.2841,74.5962,75.07,5582351,HD,79.89256666666624
61,2013-05-08,75.1901,75.5,74.92,75.42,6533366,HD,79.79743333333342
63,2013-05-10,76.14,76.2,75.41,76.01,5170939,HD,79.83659999999982
70,2013-05-21,79.33,79.47,78.06,78.71,14106814,HD,81.56895333333325
71,2013-05-22,79.26,81.56,79.18,79.69,14831142,HD,78.00843035714284
71,2013-05-22,79.26,81.56,79.18,79.69,14831142,HD,78.00843035714284
75,2013-05-29,79.38,79.87,79.09,79.49,7126728,HD,81.79605333333309
76,2013-05-30,79.55,80.1,79.13,79.44,5448092,HD,79.66203222222208
83,2013-06-10,78.94,79.68,77.53,77.73,7628017,HD,76.52766666666628
94,2013-06-25,74.07,74.725,73.8,74.14,8524955,HD,80.52668888888878
94,2013-06-25,74.07,74.725,73.8,74.14,8524955,HD,80.52668888888878
95,2013-06-26,74.79,75.87,74.58,75.67,7389929,HD,80.84536666666641
97,2013-06-28,76.16,77.79,75.92,77.47,12488979,HD,77.29609999999973
98,2013-07-01,77.63,77.8099,76.63,76.87,7470940,HD,79.5263999999998
99,2013-07-02,77.29,78.12,76.96,77.31,6887888,HD,79.1120666666668
100,2013-07-03,76.99,77.99,76.92,77.73,3034831,HD,76.52766666666628
101,2013-07-05,77.91,78.56,77.4,78.29,4991875,HD,83.44933333333347
104,2013-07-10,79.67,79.7,78.61,79.4,5460770,HD,83.66727867724866
108,2013-07-16,80.41,80.69,79.84,80.22,5032677,HD,82.42335777777798
109,2013-07-17,80.76,81.23,80.3901,80.44,5702336,HD,88.95992000000025
110,2013-07-18,80.33,80.45,79.96,80.02,5297553,HD,88.0695888888891
113,2013-07-23,80.14,80.47,79.86,80.19,4985684,HD,81.14804888888908
123,2013-08-06,79.62,80.33,78.74,80.05,6311102,HD,81.09057777777767
125,2013-08-08,79.43,80.22,79.09,80.04,4467887,HD,82.679588888889
128,2013-08-13,79.14,79.64,78.08,79.44,6956433,HD,79.66203222222208
130,2013-08-15,76.48,76.6,74.86,75.14,13702231,HD,78.62264999999971
132,2013-08-19,75.49,76.44,75.18,75.21,9170918,HD,79.19826436507941
134,2013-08-21,74.6,75.33,73.43,73.73,10788712,HD,77.01756666666647
140,2013-08-29,74.97,75.66,74.8,75.05,5704196,HD,79.06220000000043
141,2013-08-30,75.12,75.13,74.18,74.49,6331330,HD,79.0995666666668
143,2013-09-04,73.98,74.51,73.74,74.14,8271376,HD,80.52668888888878
143,2013-09-04,73.98,74.51,73.74,74.14,8271376,HD,80.52668888888878
146,2013-09-09,72.98,73.79,72.9,73.58,5781756,HD,79.13870000000028
151,2013-09-16,76.05,76.29,75.2,75.54,8062239,HD,79.93046666666694
153,2013-09-18,75.77,77.98,75.35,77.37,10594324,HD,81.85573333333295
155,2013-09-20,78.81,78.81,77.0,77.0,14155126,HD,78.73439999999988
163,2013-10-02,75.86,76.38,75.44,76.32,5118372,HD,81.34033333333318
164,2013-10-03,76.4,76.83,75.51,75.88,6979725,HD,79.67006666666666
166,2013-10-07,75.4,75.85,75.0939,75.13,5087016,HD,78.62264999999971
168,2013-10-09,74.35,74.64,73.9,74.14,6817619,HD,80.52668888888878
168,2013-10-09,74.35,74.64,73.9,74.14,6817619,HD,80.52668888888878
170,2013-10-11,75.45,76.63,75.42,76.32,6936535,HD,81.34033333333318
171,2013-10-14,75.74,76.52,75.59,76.35,4119042,HD,80.97586666666655
172,2013-10-15,76.14,76.24,75.09,75.18,6645372,HD,78.59771888888864
179,2013-10-24,75.42,76.84,75.41,76.78,7927489,HD,79.85933333333308
186,2013-11-04,77.18,77.42,76.61,77.0,3906518,HD,78.73439999999988
189,2013-11-07,76.82,77.19,75.67,75.69,5392468,HD,80.85933333333307
195,2013-11-15,78.84,80.09,78.5626,80.03,10414767,HD,87.39811111111123
196,2013-11-18,80.0,80.4699,79.19,79.67,8617466,HD,81.6603386904765
198,2013-11-20,80.73,80.73,79.38,79.75,7238211,HD,77.46688388888892
198,2013-11-20,80.73,80.73,79.38,79.75,7238211,HD,77.46688388888892
199,2013-11-21,80.06,80.06,79.36,79.83,5618839,HD,80.64134722222215
201,2013-11-25,79.3,80.04,79.3,79.75,5496160,HD,77.46688388888892
201,2013-11-25,79.3,80.04,79.3,79.75,5496160,HD,77.46688388888892
204,2013-11-29,80.88,81.39,80.63,80.67,3372554,HD,88.50603833333335
205,2013-12-02,80.45,80.75,79.52,79.77,5916491,HD,78.95519777777741
206,2013-12-03,78.96,79.48,78.31,78.71,7277094,HD,81.56895333333325
207,2013-12-04,78.15,78.75,77.7,78.4,7148759,HD,86.86856666666645
216,2013-12-17,79.31,79.37,78.61,78.62,6226265,HD,79.80480000000023
217,2013-12-18,78.8,80.06,78.3101,80.05,8172322,HD,81.09057777777767
219,2013-12-20,80.18,80.83,80.04,80.04,11233205,HD,82.679588888889
220,2013-12-23,80.07,80.92,80.04,80.56,3944669,HD,82.33990523809501
221,2013-12-24,80.56,80.96,80.56,80.64,1819821,HD,85.62567690476197
222,2013-12-26,80.84,81.74,80.81,81.55,3848944,HD,80.57396666666685
224,2013-12-30,81.67,81.98,81.459,81.94,3526486,HD,78.88410000000016
228,2014-01-06,81.65,81.98,81.1,81.1,11190715,HD,85.92460000000025
231,2014-01-09,81.9,81.94,80.975,81.57,4966067,HD,80.57396666666685
244,2014-01-29,78.28,78.75,76.63,76.68,9195417,HD,77.59580000000028
252,2014-02-10,76.56,76.59,75.88,76.41,6343591,HD,74.67336555555575
253,2014-02-11,76.44,76.99,76.17,76.7,6293074,HD,77.88693333333366
259,2014-02-20,76.59,77.56,76.54,77.48,5852270,HD,78.30379999999975
262,2014-02-25,79.68,81.0,79.33,80.98,13425902,HD,88.1012
263,2014-02-26,80.99,82.71,80.79,81.7,9737916,HD,83.06616666666648
264,2014-02-27,81.66,82.2,80.61,81.97,6041528,HD,79.21320000000026
270,2014-03-07,82.61,82.67,82.04,82.55,5288531,HD,90.07050000000015
273,2014-03-12,80.73,80.85,80.24,80.56,7048929,HD,82.33990523809501
278,2014-03-19,79.97,80.485,79.4,79.75,6568371,HD,77.46688388888892
278,2014-03-19,79.97,80.485,79.4,79.75,6568371,HD,77.46688388888892
280,2014-03-21,80.78,81.9,80.25,80.42,10086173,HD,87.93067000000018
283,2014-03-26,79.49,79.78,78.7,78.87,6365519,HD,77.46237999999967
284,2014-03-27,78.63,79.02,78.37,78.68,5803263,HD,76.78386666666678
285,2014-03-28,78.92,79.5,78.49,78.72,5132693,HD,80.87523333333318
289,2014-04-03,79.95,80.02,78.98,79.4,5505760,HD,83.66727867724866
290,2014-04-04,79.64,79.7,78.49,78.72,6422052,HD,80.87523333333318
294,2014-04-10,77.62,78.22,76.7,76.78,6208182,HD,79.85933333333308
301,2014-04-22,78.74,80.23,78.63,79.67,11189099,HD,81.6603386904765
303,2014-04-24,78.97,79.81,78.72,79.77,7275948,HD,78.95519777777741
305,2014-04-28,79.53,81.15,79.33,80.17,14562447,HD,86.03518222222249
306,2014-04-29,80.32,80.32,79.52,79.52,5147142,HD,82.16646666666651
308,2014-05-01,79.51,79.65,78.95,79.33,3936731,HD,80.98745044973553
309,2014-05-02,79.32,80.16,79.155,79.4,3738436,HD,83.66727867724866
316,2014-05-13,78.36,78.675,77.04,77.27,5455496,HD,75.85400000000014
318,2014-05-15,76.05,76.29,75.32,76.24,6304743,HD,80.05536666666681
325,2014-05-27,79.38,80.0,79.3,79.69,4765351,HD,78.00843035714284
325,2014-05-27,79.38,80.0,79.3,79.69,4765351,HD,78.00843035714284
326,2014-05-28,79.75,80.0,79.27,79.68,4002211,HD,81.6603386904765
330,2014-06-03,80.19,80.88,80.15,80.67,5477706,HD,88.50603833333335
333,2014-06-06,80.58,81.27,80.51,80.64,4460494,HD,85.62567690476197
334,2014-06-09,80.63,81.32,80.42,80.61,3718643,HD,85.20957690476193
336,2014-06-11,80.46,80.73,79.76,79.81,4918112,HD,76.78276111111116
339,2014-06-16,77.96,79.09,77.96,78.9,7171923,HD,76.1675568253965
340,2014-06-17,78.84,80.46,78.73,80.02,9587295,HD,88.0695888888891
342,2014-06-19,80.71,80.85,79.95,80.44,5095449,HD,88.95992000000025
343,2014-06-20,80.69,80.8,79.86,80.17,13661014,HD,86.03518222222249
344,2014-06-23,80.16,80.8,79.97,80.64,4920429,HD,85.62567690476197
350,2014-07-01,81.32,81.97,81.22,81.82,5234564,HD,89.53943333333311
351,2014-07-02,81.84,82.18,81.62,81.98,4185721,HD,79.04230000000025
355,2014-07-09,81.11,81.23,80.175,80.73,6981406,HD,90.2817700000001
356,2014-07-10,79.05,79.58,77.95,79.4,11532172,HD,83.66727867724866
361,2014-07-17,79.8,80.28,79.45,80.08,5323227,HD,86.26024444444428
362,2014-07-18,79.8,80.28,79.45,80.08,5323239,HD,86.26024444444428
363,2014-07-21,80.01,80.03,79.525,79.71,4112787,HD,77.45614277777779
367,2014-07-25,81.1,81.3,80.89,81.03,4680707,HD,84.65567777777778
369,2014-07-29,81.21,81.81,80.89,80.98,4537437,HD,88.1012
372,2014-08-01,80.56,81.0799,79.74,79.75,8708569,HD,77.46688388888892
372,2014-08-01,80.56,81.0799,79.74,79.75,8708569,HD,77.46688388888892
373,2014-08-04,79.7,80.25,79.66,80.03,7025005,HD,87.39811111111123
374,2014-08-05,79.78,80.86,79.78,80.03,5895525,HD,87.39811111111123
379,2014-08-12,82.75,83.09,82.68,82.92,3657210,HD,84.7387666666664
385,2014-08-20,88.17,91.07,88.08,90.75,13399352,HD,100.72595166666669
396,2014-09-05,89.66,91.64,89.2809,91.61,7748251,HD,98.55830000000033
399,2014-09-10,88.66,89.4,88.33,89.25,6245512,HD,99.48983333333308
407,2014-09-22,91.98,92.42,91.68,91.89,5209196,HD,100.92280000000008
408,2014-09-23,91.79,92.22,91.45,91.49,6330068,HD,98.47935833333378
409,2014-09-24,91.68,93.11,91.3501,93.02,6382807,HD,101.95810000000036
412,2014-09-29,92.37,93.17,91.95,92.88,3894623,HD,102.92736666666677
415,2014-10-02,91.31,92.46,91.07,92.24,5991202,HD,100.02539999999951
418,2014-10-07,93.04,93.56,92.44,92.47,5030738,HD,100.22293333333297
426,2014-10-17,89.3,91.12,89.05,90.24,7013765,HD,100.59226666666632
442,2014-11-10,97.64,98.17,97.0,98.16,3662260,HD,109.28800000000042
451,2014-11-21,98.98,99.1,97.82,98.28,6806841,HD,111.03623333333347
452,2014-11-24,98.68,98.9,98.22,98.4,5043636,HD,111.37973333333282
455,2014-11-28,98.06,99.8,98.0,99.4,3305799,HD,115.4095600000002
457,2014-12-02,98.62,99.0,97.99,98.16,4677714,HD,109.28800000000042
459,2014-12-04,98.15,99.11,97.78,98.95,5227444,HD,113.89209650793687
473,2014-12-24,104.05,104.3792,103.56,103.56,1819047,HD,113.78279999999977
474,2014-12-26,103.98,104.3202,103.48,103.75,2594855,HD,115.52283333333328
478,2015-01-02,105.16,105.6548,102.67,103.43,4324850,HD,115.92083333333355
484,2015-01-12,105.17,105.29,104.06,104.42,4992945,HD,112.00003333333397
489,2015-01-20,104.84,104.95,102.35,103.25,5335526,HD,115.92083333333355
492,2015-01-23,106.21,106.48,105.31,105.37,4075976,HD,114.26876666666632
493,2015-01-26,105.36,106.5,105.06,106.36,4192274,HD,113.08753333333344
497,2015-01-30,106.36,106.86,104.38,104.42,6999952,HD,112.00003333333397
498,2015-02-02,104.78,105.0,101.57,104.43,5012800,HD,112.00003333333397
500,2015-02-04,107.09,109.0,106.75,108.41,6766242,HD,113.93646666666638
503,2015-02-09,108.88,109.46,108.04,108.34,4243767,HD,113.91026666666639
506,2015-02-12,110.81,112.2,110.21,112.16,4592234,HD,120.92992142857155
507,2015-02-13,112.01,112.39,111.3,111.89,5099683,HD,117.31028888888892
508,2015-02-17,111.69,112.225,110.62,112.0,6029630,HD,118.61695000000029
509,2015-02-18,111.6,112.17,111.0,111.99,3731576,HD,118.61695000000029
511,2015-02-20,110.81,112.25,110.05,112.24,7276070,HD,115.92968333333384
518,2015-03-03,116.11,116.12,114.8,116.07,3784761,HD,111.04596666666679
525,2015-03-12,113.85,116.46,113.77,116.1,5741991,HD,111.30553333333297
530,2015-03-19,116.21,116.43,115.07,115.16,3545575,HD,112.71570000000034
531,2015-03-20,115.55,117.99,115.33,117.49,8445980,HD,129.49196666666666
532,2015-03-23,117.04,117.75,116.07,116.07,4095198,HD,111.04596666666679
534,2015-03-25,115.96,116.61,113.64,113.68,4725790,HD,114.76405055555593
540,2015-04-02,112.61,114.92,112.52,114.54,4065097,HD,125.61166666666679
544,2015-04-09,115.46,116.2446,114.14,114.57,4674020,HD,120.86656666666674
548,2015-04-15,114.58,115.21,113.38,113.45,4210990,HD,119.08636666666709
551,2015-04-20,113.0,113.69,112.68,112.86,4397308,HD,116.92878416666703
556,2015-04-27,114.05,114.11,111.28,111.39,5618018,HD,115.87870000000044
557,2015-04-28,110.9,111.77,110.05,110.58,5743300,HD,115.9079333333334
558,2015-04-29,110.17,110.31,108.07,108.71,7238947,HD,110.32663333333375
563,2015-05-06,108.2,108.91,107.2401,108.31,3996648,HD,114.13636666666632
565,2015-05-08,112.4,113.4825,112.11,112.47,6435306,HD,117.08040000000035
568,2015-05-13,112.92,112.95,111.1,111.19,4340651,HD,115.61943333333302
569,2015-05-14,112.05,112.22,110.83,111.94,3815733,HD,117.93982222222229
571,2015-05-18,113.87,114.6,113.16,114.33,6878237,HD,117.34386666666656
571,2015-05-18,113.87,114.6,113.16,114.33,6878237,HD,117.34386666666656
575,2015-05-22,111.87,112.53,111.46,112.16,3693959,HD,120.92992142857155
