,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,165.75,167.79,165.5,167.47,4281382,AMGN,167.34232
1009,2017-02-10,167.8,168.31,167.03,167.89,2931238,AMGN,166.66235
1010,2017-02-13,167.72,168.26,166.68,167.66,3602846,AMGN,167.01183
1011,2017-02-14,167.07,168.07,165.57,168.05,3116698,AMGN,166.75343
1012,2017-02-15,167.32,172.0,167.0,171.79,4058811,AMGN,167.11716
1013,2017-02-16,171.56,172.17,170.3001,172.11,2660644,AMGN,170.7242
1014,2017-02-17,171.35,173.36,168.89,173.29,4154875,AMGN,171.0924
1015,2017-02-21,172.85,173.5,171.86,173.14,3941221,AMGN,172.30759
1016,2017-02-22,172.33,174.7,171.8901,172.61,2579797,AMGN,172.15442
1017,2017-02-23,172.75,174.01,171.89,174.01,2191424,AMGN,171.63051
1018,2017-02-24,173.29,174.72,172.48,174.56,2677307,AMGN,172.94707
1019,2017-02-27,174.21,176.27,173.71,176.13,2850737,AMGN,173.45102
1020,2017-02-28,175.46,178.25,175.42,176.53,3370380,AMGN,174.991
1021,2017-03-01,178.0,179.68,175.76,178.24,3532349,AMGN,175.37384
1022,2017-03-02,177.72,178.86,176.82,178.07,3493003,AMGN,177.05154
1023,2017-03-03,178.46,180.53,177.55,180.2,2900888,AMGN,176.85146
1024,2017-03-06,179.55,180.34,178.16,179.46,3280087,AMGN,178.93854
1025,2017-03-07,177.4,178.59,176.28,177.38,3328877,AMGN,178.14447
1026,2017-03-08,177.25,178.76,177.14,177.78,2320991,AMGN,176.13945
1027,2017-03-09,178.05,179.12,177.07,178.92,2505311,AMGN,176.50792
1028,2017-03-10,179.47,181.93,179.11,181.44,4589257,AMGN,177.56564
1029,2017-03-13,181.93,182.0,180.32,181.05,2530960,AMGN,180.03821
1030,2017-03-14,180.42,181.56,179.63,180.12,2746605,AMGN,179.6466
1031,2017-03-15,180.31,184.21,180.31,182.6,4197296,AMGN,178.79552
1032,2017-03-16,181.6,181.84,178.02,180.11,6014375,AMGN,181.21552
1033,2017-03-17,167.37,171.59,165.95,168.61,23936848,AMGN,178.68097
1034,2017-03-20,169.63,169.71,167.76,169.24,5831538,AMGN,167.68417
1035,2017-03-21,170.05,170.21,166.49,166.85,4922665,AMGN,168.17575
1036,2017-03-22,167.93,167.98,166.59,167.45,5070374,AMGN,165.76416
1037,2017-03-23,167.48,168.02,165.57,166.04,4432154,AMGN,166.42618
1038,2017-03-24,166.69,166.925,165.08,165.74,3175587,AMGN,165.19794
1039,2017-03-27,164.77,166.61,163.0,164.91,4733979,AMGN,165.01706
1040,2017-03-28,164.11,166.26,163.73,164.71,6526446,AMGN,164.2844
1041,2017-03-29,164.47,165.22,162.94,163.06,4070780,AMGN,164.1217
1042,2017-03-30,164.07,164.8,163.21,164.38,2262328,AMGN,162.56607
1043,2017-03-31,164.32,165.48,163.85,164.07,2811836,AMGN,163.77985
1044,2017-04-03,164.63,165.02,163.52,163.89,3047953,AMGN,163.50104
1045,2017-04-04,163.78,164.49,163.12,164.36,2239434,AMGN,163.34373
1046,2017-04-05,163.27,164.76,161.68,162.24,3542256,AMGN,163.77296
1047,2017-04-06,162.2,163.45,161.61,162.25,3024172,AMGN,161.76083
1048,2017-04-07,162.91,164.24,162.25,163.38,2202242,AMGN,161.6931
1049,2017-04-10,163.85,164.24,162.62,162.79,1772029,AMGN,162.71796
1050,2017-04-11,162.89,163.4,161.56,163.11,1990300,AMGN,162.1935
1051,2017-04-12,164.08,164.1,162.16,163.05,2248673,AMGN,162.50009
1052,2017-04-13,163.28,163.63,161.33,161.61,2568793,AMGN,162.44281
1053,2017-04-17,161.34,162.52,161.26,162.11,2364877,AMGN,161.07881
1054,2017-04-18,161.93,161.93,160.28,161.25,2532118,AMGN,161.49338
1055,2017-04-19,162.1,162.64,161.13,161.26,2344063,AMGN,160.67194
1056,2017-04-20,161.05,162.77,161.01,162.04,2070152,AMGN,160.66098
1057,2017-04-21,162.15,162.73,160.25,160.41,2906923,AMGN,161.39252
1058,2017-04-24,162.5,163.6,161.9,163.14,3498403,AMGN,159.89243
1059,2017-04-25,163.52,165.3,163.4,164.7,3529408,AMGN,162.4323
1060,2017-04-26,165.61,165.61,164.3397,164.61,4175536,AMGN,163.98499
1061,2017-04-27,160.13,163.4327,160.0,162.72,5699193,AMGN,163.99017
1062,2017-04-28,162.39,163.48,161.53,163.32,2942158,AMGN,162.20776
1063,2017-05-01,163.68,164.44,162.45,162.6,2522034,AMGN,162.68323
1064,2017-05-02,163.91,163.94,162.41,163.49,3737839,AMGN,161.96123
1065,2017-05-03,163.82,164.08,163.0,163.81,2855073,AMGN,162.77919
1066,2017-05-04,164.17,164.82,163.52,164.29,2543448,AMGN,163.10223
1067,2017-05-05,164.81,164.81,162.42,163.81,2970385,AMGN,163.58975
1068,2017-05-08,163.73,163.81,162.47,163.03,2291872,AMGN,163.15814
1069,2017-05-09,163.17,164.08,162.83,163.22,2305526,AMGN,162.41005
1070,2017-05-10,163.25,163.48,159.7001,160.51,5201025,AMGN,162.55196
1071,2017-05-11,159.86,160.52,158.29,160.08,3510153,AMGN,159.98523
1072,2017-05-12,160.49,160.62,159.46,160.22,2706045,AMGN,159.48795
1073,2017-05-15,158.88,160.15,158.71,159.97,3318715,AMGN,159.57422
1074,2017-05-16,160.21,160.49,159.4575,159.99,2281173,AMGN,159.36371
1075,2017-05-17,158.77,159.285,156.93,157.06,3073212,AMGN,159.40775
1076,2017-05-18,157.37,158.79,156.29,157.96,2163252,AMGN,156.68658
1077,2017-05-19,157.59,158.58,156.35,156.51,2577270,AMGN,157.40935
1078,2017-05-22,153.59,154.605,152.45,153.02,6911699,AMGN,156.06454
1079,2017-05-23,152.65,154.57,152.16,154.07,3581999,AMGN,152.78337
1080,2017-05-24,154.77,154.99,153.79,154.6,2669558,AMGN,153.55385
1081,2017-05-25,155.19,156.04,154.62,155.43,2965848,AMGN,154.07533
1082,2017-05-26,155.6,156.13,154.79,155.01,2731557,AMGN,154.92441
1083,2017-05-30,155.01,155.365,153.56,153.85,2716816,AMGN,154.6173
1084,2017-05-31,153.67,155.37,153.67,155.24,3891263,AMGN,153.53992
1085,2017-06-01,155.4,156.77,155.24,156.24,3005265,AMGN,154.75038
1086,2017-06-02,157.27,159.62,157.0,159.15,3320771,AMGN,155.72815
1087,2017-06-05,160.29,161.12,158.27,160.22,4611127,AMGN,158.51941
1088,2017-06-06,160.13,160.919,159.24,159.53,3002487,AMGN,159.66672
1089,2017-06-07,159.82,162.05,159.75,161.66,3571518,AMGN,159.0858
1090,2017-06-08,161.98,163.165,161.41,162.65,3555137,AMGN,161.0397
1091,2017-06-09,162.75,166.1369,162.63,164.06,4086842,AMGN,161.99779
1092,2017-06-12,165.0,167.23,163.28,164.88,4344480,AMGN,163.3622
1093,2017-06-13,164.47,165.09,163.77,164.43,2568170,AMGN,164.1657
1094,2017-06-14,164.36,165.88,163.97,165.1,2594842,AMGN,163.74811
1095,2017-06-15,164.24,164.9,162.55,164.11,3585036,AMGN,164.3502
1096,2017-06-16,163.84,164.1,161.13,162.42,5887244,AMGN,163.39142
1097,2017-06-19,163.1,165.22,162.69,165.09,3043884,AMGN,161.75627
1098,2017-06-20,165.43,168.7,164.79,166.29,3857863,AMGN,164.21834
1099,2017-06-21,167.2,171.76,166.36,171.35,5490814,AMGN,165.42406
1100,2017-06-22,172.44,175.45,172.1,173.82,5745765,AMGN,170.38142
1101,2017-06-23,173.24,174.13,170.96,172.5,14368474,AMGN,172.8656
1102,2017-06-26,173.39,174.72,172.41,173.67,3037563,AMGN,171.67133
1103,2017-06-27,173.02,173.92,170.77,170.85,2941462,AMGN,172.77502
1104,2017-06-28,171.42,174.5394,170.83,174.07,2890490,AMGN,169.95245
1105,2017-06-29,174.49,174.72,171.02,172.59,2491761,AMGN,172.99971
1106,2017-06-30,173.61,174.25,172.01,172.23,2695516,AMGN,171.49585
1107,2017-07-03,172.63,174.33,172.63,172.8,1395060,AMGN,171.19638
1108,2017-07-05,172.67,174.38,171.92,174.26,2830025,AMGN,171.72174
1109,2017-07-06,173.1,173.61,171.31,171.72,2566438,AMGN,173.14183
1110,2017-07-07,171.64,172.03,170.59,171.43,2612936,AMGN,170.71962
1111,2017-07-10,171.59,172.5501,171.0,172.2,2070609,AMGN,170.46658
1112,2017-07-11,174.18,174.435,172.07,173.32,2198020,AMGN,171.17061
1113,2017-07-12,173.71,174.24,172.67,173.27,1976853,AMGN,172.26945
1114,2017-07-13,173.28,176.2,173.09,175.04,2999889,AMGN,172.2606
1115,2017-07-14,175.43,177.68,174.41,177.13,2720648,AMGN,174.00827
1116,2017-07-17,176.84,178.8952,176.68,177.4,2692421,AMGN,176.03354
1117,2017-07-18,176.66,177.63,176.14,177.48,1820392,AMGN,176.29832
1118,2017-07-19,178.1,179.2,176.52,179.18,2440745,AMGN,176.37924
1119,2017-07-20,179.05,180.73,178.88,179.32,3039256,AMGN,177.99338
1120,2017-07-21,179.26,180.55,179.16,180.21,2674714,AMGN,178.06091
1121,2017-07-24,180.19,181.46,178.66,181.06,2503137,AMGN,178.92168
1122,2017-07-25,182.05,182.6,180.34,180.89,3343223,AMGN,179.70323
1123,2017-07-26,176.01,178.855,175.2,175.89,5446135,AMGN,179.50539
1124,2017-07-27,175.0,175.48,170.53,172.15,5523230,AMGN,174.6322
1125,2017-07-28,171.98,175.06,171.71,174.54,2463475,AMGN,171.04027
1126,2017-07-31,174.51,176.79,174.25,174.51,2424761,AMGN,173.27112
1127,2017-08-01,174.81,175.11,173.66,174.13,2069552,AMGN,173.23586
1128,2017-08-02,173.57,174.59,173.21,174.46,2209159,AMGN,173.00113
1129,2017-08-03,173.5201,174.71,173.26,174.18,1725912,AMGN,173.39276
1130,2017-08-04,174.27,174.82,172.9,173.85,1915679,AMGN,173.15714
1131,2017-08-07,173.87,174.65,173.26,174.58,1193843,AMGN,172.8653
1132,2017-08-08,173.96,174.9,172.98,173.69,2325311,AMGN,173.57393
1133,2017-08-09,173.1,174.18,172.65,173.55,1972231,AMGN,172.70479
1134,2017-08-10,172.07,172.668,168.59,169.11,3443843,AMGN,172.57875
1135,2017-08-11,169.82,170.63,168.76,169.43,1571584,AMGN,168.28679
1136,2017-08-14,170.28,172.076,169.97,171.67,1915798,AMGN,168.54628
1137,2017-08-15,171.1,171.45,169.76,170.04,1956277,AMGN,170.64946
1138,2017-08-16,170.26,172.635,170.14,171.39,1618756,AMGN,169.14542
1139,2017-08-17,170.69,171.0,167.8,167.81,2630576,AMGN,170.50876
1140,2017-08-18,167.37,168.43,166.52,167.29,1741936,AMGN,167.07866
1141,2017-08-21,167.46,168.64,167.01,168.16,1533304,AMGN,166.55704
1142,2017-08-22,168.86,170.94,168.83,170.07,1933548,AMGN,167.32497
1143,2017-08-23,169.66,169.94,168.76,169.0,1279373,AMGN,169.18266
1144,2017-08-24,169.28,170.69,168.57,169.95,1922440,AMGN,168.22101
1145,2017-08-25,170.82,171.57,169.4,169.74,1510790,AMGN,169.1633
1146,2017-08-28,170.86,172.64,170.26,171.78,2359529,AMGN,168.9461
1147,2017-08-29,170.66,172.35,170.35,172.23,1483019,AMGN,170.90799
1148,2017-08-30,172.19,175.08,171.54,173.65,2311262,AMGN,171.3359
1149,2017-08-31,173.74,178.64,173.74,177.77,3977490,AMGN,172.72449
1150,2017-09-01,178.14,179.73,177.3,178.71,2432318,AMGN,176.71025
1151,2017-09-05,178.0,178.5,175.361,176.74,2060915,AMGN,177.58342
1152,2017-09-06,177.59,179.08,176.36,178.38,2242335,AMGN,175.67944
1153,2017-09-07,178.5,182.77,177.28,180.71,2985346,AMGN,177.23624
1154,2017-09-08,180.93,182.66,179.52,180.64,1993947,AMGN,179.38826
1155,2017-09-11,182.54,186.71,182.54,186.49,3791224,AMGN,179.26756
1156,2017-09-12,187.0,191.04,186.78,191.0,3894326,AMGN,185.044
1157,2017-09-13,189.9,190.94,187.71,189.7,3031418,AMGN,189.2864
1158,2017-09-14,188.37,191.0999,187.81,189.44,2318395,AMGN,187.87134
1159,2017-09-15,189.66,189.66,186.31,187.47,5348992,AMGN,187.66957
1160,2017-09-18,187.79,188.556,186.12,186.47,2443770,AMGN,185.5753
1161,2017-09-19,186.81,187.44,185.81,186.32,2066082,AMGN,184.57266
1162,2017-09-20,186.08,188.55,185.4201,188.17,2685371,AMGN,184.38148
1163,2017-09-21,188.32,188.96,186.5,186.64,2082214,AMGN,186.2103
1164,2017-09-22,185.48,186.82,184.0,185.76,2275630,AMGN,184.66603
1165,2017-09-25,185.51,188.03,185.51,186.29,2545433,AMGN,183.94092
1166,2017-09-26,186.51,187.55,185.4,185.6,2307852,AMGN,184.49069
1167,2017-09-27,185.05,186.8799,183.9,184.88,2436694,AMGN,183.80408
1168,2017-09-28,184.29,187.82,184.13,185.46,2576860,AMGN,183.16182
1169,2017-09-29,185.7,186.54,183.17,186.45,3017323,AMGN,183.76791
1170,2017-10-02,187.03,187.725,185.56,187.17,2682723,AMGN,184.73433
1171,2017-10-03,188.05,188.22,185.625,187.23,1515006,AMGN,185.44255
1172,2017-10-04,186.55,188.72,186.02,188.59,1660280,AMGN,185.50156
1173,2017-10-05,189.05,190.0,184.31,186.85,4506646,AMGN,186.84851
1174,2017-10-06,186.46,188.24,185.16,185.82,2032454,AMGN,185.05064
1175,2017-10-09,185.95,186.84,184.4,185.46,1519647,AMGN,184.10568
1176,2017-10-10,185.46,186.58,184.46,185.79,2036369,AMGN,183.72571
1177,2017-10-11,185.28,185.5,182.68,184.15,3273163,AMGN,184.04121
1178,2017-10-12,183.39,184.39,182.04,182.76,2223755,AMGN,182.42604
1179,2017-10-13,182.64,183.35,182.01,183.01,2331710,AMGN,181.144
1180,2017-10-16,182.96,184.2,181.2,181.9,2211464,AMGN,181.42078
1181,2017-10-17,182.03,187.06,181.125,186.19,3753749,AMGN,180.33366
1182,2017-10-18,187.85,188.84,185.83,186.28,2580235,AMGN,184.63727
1183,2017-10-19,185.99,186.98,183.25,184.12,2563623,AMGN,184.59581
1184,2017-10-20,184.09,184.819,181.29,182.96,3179172,AMGN,182.57419
1185,2017-10-23,183.25,183.62,180.37,180.53,2571242,AMGN,181.47537
1186,2017-10-24,181.26,181.5386,177.23,180.37,3449844,AMGN,179.05087
1187,2017-10-25,179.1,180.04,176.56,177.5,4052517,AMGN,178.91792
1188,2017-10-26,170.87,177.44,169.6842,176.52,5998501,AMGN,176.0992
1189,2017-10-27,175.35,176.43,173.291,175.28,3478617,AMGN,175.22997
1190,2017-10-30,175.5,176.8,173.58,174.59,2550770,AMGN,174.04156
1191,2017-10-31,174.15,176.19,174.15,175.22,2906601,AMGN,173.43164
1192,2017-11-01,175.3,177.31,174.72,175.42,2734854,AMGN,174.09196
1193,2017-11-02,174.77,175.38,171.26,172.41,4029331,AMGN,174.33176
1194,2017-11-03,172.1,174.03,171.6,173.44,2433100,AMGN,171.47626
1195,2017-11-06,172.86,173.325,170.69,170.8,2691959,AMGN,172.49333
1196,2017-11-07,170.61,174.75,170.61,173.48,3097087,AMGN,169.90851
1197,2017-11-08,174.0,174.65,173.18,173.58,2003416,AMGN,172.51631
1198,2017-11-09,172.75,174.23,171.31,174.0,2002798,AMGN,172.59326
1199,2017-11-10,173.15,173.4777,171.19,172.35,1927376,AMGN,173.06511
1200,2017-11-13,171.58,172.94,171.1,171.5,2120195,AMGN,171.47083
1201,2017-11-14,170.89,171.49,168.31,170.13,2604705,AMGN,170.63564
1202,2017-11-15,170.19,170.52,168.33,169.38,3150627,AMGN,169.26479
1203,2017-11-16,168.91,171.15,168.75,170.77,3131040,AMGN,168.51237
1204,2017-11-17,170.67,171.09,169.54,170.0,2039739,AMGN,169.83037
1205,2017-11-20,169.9,170.22,168.15,168.79,2012777,AMGN,169.1178
1206,2017-11-21,169.35,170.49,168.89,169.84,2629620,AMGN,167.99922
1207,2017-11-22,169.86,170.7299,169.33,169.96,1533133,AMGN,168.99243
1208,2017-11-24,169.5,170.76,169.49,170.12,999771,AMGN,169.10945
1209,2017-11-27,170.56,171.26,169.56,169.71,2150128,AMGN,169.2914
1210,2017-11-28,170.57,170.66,169.43,170.26,2658731,AMGN,168.90285
1211,2017-11-29,171.0,174.0,170.59,172.23,3244457,AMGN,169.42279
1212,2017-11-30,172.63,176.06,172.63,175.66,3819407,AMGN,171.3119
1213,2017-12-01,174.16,177.86,174.05,177.2,3389862,AMGN,174.65051
1214,2017-12-04,178.46,180.74,178.16,178.69,4417129,AMGN,176.16206
1215,2017-12-05,179.01,180.73,177.94,178.67,3589409,AMGN,177.62865
1216,2017-12-06,179.45,179.48,174.675,176.22,2519718,AMGN,177.55133
1217,2017-12-07,175.68,176.94,173.4301,173.96,3102210,AMGN,175.11449
1218,2017-12-08,174.43,175.97,173.43,175.41,3336250,AMGN,172.86801
1219,2017-12-11,176.09,177.69,175.01,176.83,1873979,AMGN,174.19093
1220,2017-12-12,176.83,176.99,174.13,176.26,2193736,AMGN,175.52946
1221,2017-12-13,176.87,178.22,175.97,177.38,3166850,AMGN,175.02808
1222,2017-12-14,177.44,177.97,174.55,174.92,2723557,AMGN,176.18118
1223,2017-12-15,176.39,177.41,174.14,177.04,5796759,AMGN,173.78767
1224,2017-12-18,177.86,178.63,176.03,176.14,2799962,AMGN,175.88647
1225,2017-12-19,175.91,177.28,175.405,176.87,2705000,AMGN,174.95232
1226,2017-12-20,177.6,179.17,177.04,177.11,3246053,AMGN,175.71664
1227,2017-12-21,177.57,178.23,176.46,176.68,2106367,AMGN,175.93008
1228,2017-12-22,176.62,177.49,175.77,176.42,1477851,AMGN,175.52354
1229,2017-12-26,176.18,176.92,175.5,176.09,1339225,AMGN,175.27435
1230,2017-12-27,176.44,177.28,176.09,176.21,1403910,AMGN,174.94199
1231,2017-12-28,176.77,177.0,175.06,175.25,1637727,AMGN,175.05481
1232,2017-12-29,175.25,176.06,173.76,173.9,1948642,AMGN,174.12064
1233,2018-01-02,175.35,177.8155,174.42,177.0,2301141,AMGN,172.82814
1234,2018-01-03,176.91,181.4405,175.76,180.34,3083966,AMGN,175.83736
1235,2018-01-04,180.63,180.86,178.75,179.58,2021054,AMGN,179.07292
1236,2018-01-05,180.84,180.88,179.03,180.65,2211382,AMGN,178.35277
1237,2018-01-08,180.48,181.25,178.43,180.6,2356166,AMGN,179.4594
1238,2018-01-09,180.53,184.53,180.12,183.38,3031748,AMGN,179.32271
1239,2018-01-10,182.66,183.7,180.37,182.86,2542692,AMGN,182.01912
1240,2018-01-11,182.86,182.86,181.1,181.96,2101258,AMGN,181.38802
1241,2018-01-12,182.34,185.61,181.751,185.04,3111445,AMGN,180.53235
1242,2018-01-16,185.62,187.4499,184.17,185.54,3374626,AMGN,183.52826
1243,2018-01-17,187.7,189.3,185.9001,188.01,4018235,AMGN,183.87862
1244,2018-01-18,187.445,188.56,185.5,187.59,3084923,AMGN,186.347
1245,2018-01-19,188.36,189.72,187.6,189.28,3652314,AMGN,185.81133
1246,2018-01-22,189.73,192.57,189.43,192.33,3579782,AMGN,187.5116
1247,2018-01-23,193.0,196.03,191.6,191.99,3486666,AMGN,190.40382
1248,2018-01-24,192.75,192.9399,189.51,190.63,2765713,AMGN,189.90106
1249,2018-01-25,191.4,191.8,188.9,190.08,2471001,AMGN,188.58354
1250,2018-01-26,191.05,196.8,190.99,196.01,3920250,AMGN,188.03033
1251,2018-01-29,196.21,201.23,195.65,198.0,4565702,AMGN,193.89876
1252,2018-01-30,196.18,196.468,190.55,191.27,3990821,AMGN,195.50696
1253,2018-01-31,191.64,192.27,184.65,186.05,4677703,AMGN,188.82703
1254,2018-02-01,185.0,186.83,182.33,185.56,4078062,AMGN,184.02339
1255,2018-02-02,183.46,192.6,183.01,187.01,7030078,AMGN,183.55928
1256,2018-02-05,186.82,188.5981,174.62,174.75,6922758,AMGN,184.9498
1257,2018-02-06,177.99,180.28,172.04,176.65,7527691,AMGN,173.06816
1258,2018-02-07,176.25,180.99,176.0,177.47,5715671,AMGN,175.2321
